mapping_key,old_path,proposed_new_path,match_term,match_type,affected_file_count,occurrence_count,target_existence_status,unresolved_mapping_reason,sample_affected_files
prefix:/Volumes/batdrivetb5,/Volumes/batdrivetb5,/Volumes/iseepatterns-evidence,/Volumes/batdrivetb5,literal_prefix_or_substring,1339697,2537249,exists_directory,,/Volumes/iseepatterns-evidence/ISEEPATTERNS_LOCKER/lawmodel1/scripts/parse_vault_xml_full.py; /Volumes/iseepatterns-evidence/ISEEPATTERNS_LOCKER/lawmodel1/scripts/unused/create_accounting_db.py; /Volumes/iseepatterns-evidence/ISEEPATTERNS_LOCKER/lawmodel1/scripts/unused/extract_accountant_emails.py; /Volumes/iseepatterns-evidence/ISEEPATTERNS_LOCKER/lawmodel1/scripts/unused/extract_side_business_emails.py; /Volumes/iseepatterns-evidence/ISEEPATTERNS_LOCKER/lawmodel1/scripts/unused/extract_mbox_accounts.py; /Volumes/iseepatterns-evidence/ISEEPATTERNS_LOCKER/lawmodel1/scripts/unused/create_ashley_myles_db.py; /Volumes/iseepatterns-evidence/ISEEPATTERNS_LOCKER/lawmodel1/.github/workflows/notebooklm_deepdive.yml; /Volumes/iseepatterns-evidence/ISEEPATTERNS_LOCKER/lawmodel1/.agent/skills/lawmodel1-governance/SKILL.md; /Volumes/iseepatterns-evidence/ISEEPATTERNS_LOCKER/lawmodel1/.agent/skills/eml-to-court-pdf/scripts/eml_to_court_pdf.py; /Volumes/iseepatterns-evidence/ISEEPATTERNS_LOCKER/lawmodel1/data/DRAWS_LOCKER/draws_emails_all.csv
segment:/AI_TRAINING/,/AI_TRAINING/,/ISEEPATTERNS_LOCKER/,AI_TRAINING,path_segment,1273923,2471470,missing,,/Volumes/iseepatterns-evidence/ISEEPATTERNS_LOCKER/lawmodel1/scripts/unused/create_accounting_db.py; /Volumes/iseepatterns-evidence/ISEEPATTERNS_LOCKER/lawmodel1/scripts/unused/extract_accountant_emails.py; /Volumes/iseepatterns-evidence/ISEEPATTERNS_LOCKER/lawmodel1/scripts/unused/extract_side_business_emails.py; /Volumes/iseepatterns-evidence/ISEEPATTERNS_LOCKER/lawmodel1/scripts/unused/extract_mbox_accounts.py; /Volumes/iseepatterns-evidence/ISEEPATTERNS_LOCKER/lawmodel1/scripts/unused/create_ashley_myles_db.py; /Volumes/iseepatterns-evidence/ISEEPATTERNS_LOCKER/lawmodel1/.github/workflows/notebooklm_deepdive.yml; /Volumes/iseepatterns-evidence/ISEEPATTERNS_LOCKER/lawmodel1/.agent/skills/lawmodel1-governance/SKILL.md; /Volumes/iseepatterns-evidence/ISEEPATTERNS_LOCKER/lawmodel1/data/DRAWS_LOCKER/draws_emails_all.csv; /Volumes/iseepatterns-evidence/ISEEPATTERNS_LOCKER/lawmodel1/data/evidence_cards/imsg_CHAT_DB_IMAC_109084.json; /Volumes/iseepatterns-evidence/ISEEPATTERNS_LOCKER/lawmodel1/data/evidence_cards/imsg_CHAT_DB_IMAC_328114.json
unmapped:/Volumes/2026-iseepatterns-tb3,/Volumes/2026-iseepatterns-tb3,,/Volumes/2026-iseepatterns-tb3,literal_prefix_or_substring,3,3,not_checked_unresolved_mapping,No controlled replacement supplied in task context for candidate_rewrite references.,/Volumes/iseepatterns-evidence/ISEEPATTERNS_LOCKER/lawmodel1/app/app/api/legal/route.ts; /Volumes/iseepatterns-evidence/ISEEPATTERNS_LOCKER/lawmodel1/app/app/api/legal/complaints/route.ts; /Volumes/iseepatterns-evidence/ISEEPATTERNS_LOCKER/lawmodel1/app/app/api/legal/document/route.ts
unmapped:/Volumes/messageshd,/Volumes/messageshd,,/Volumes/messageshd,literal_prefix_or_substring,1,2,not_checked_unresolved_mapping,No controlled replacement supplied in task context for candidate_rewrite references.,/Volumes/iseepatterns-evidence/ISEEPATTERNS_LOCKER/lawmodel1/scripts/imazing_forensic_audit.py
unmapped:/Users/iseepatterns-ms-m4,/Users/iseepatterns-ms-m4,,/Users/iseepatterns-ms-m4,literal_prefix_or_substring,0,0,not_checked_unresolved_mapping,No controlled replacement supplied in task context for candidate_rewrite references.,
unmapped:/Volumes/iseepatterns-evidence/IGNORE,/Volumes/iseepatterns-evidence/IGNORE,,/Volumes/iseepatterns-evidence/IGNORE,literal_prefix_or_substring,0,0,not_checked_unresolved_mapping,No controlled replacement supplied in task context for candidate_rewrite references.,
